,id,date,bedrooms,bathrooms,living_area,lot_area,floors,waterfront,views,condition,grade,house_area,basement_area,year_built,year_renovated,post_code,lattitude,longitude,living_area_renov,lot_area_renov,schools,airport_distance,price
0,6762810635,42491,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,122004,52.8878,-114.47,2470,4000,2,51,1400000
1,6762810998,42491,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,122004,52.8852,-114.468,2940,6600,1,53,1200000
2,6762812605,42491,4,2.5,3310,42998,2.0,0,0,3,9,3310,0,2001,0,122005,52.9532,-114.321,3350,42847,3,76,838000
3,6762812919,42491,3,2.0,2710,4500,1.5,0,0,4,8,1880,830,1929,0,122006,52.9047,-114.485,2060,4500,1,51,805000
4,6762813105,42491,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,1951,0,122007,52.9133,-114.59,2380,4750,1,67,790000
5,6762813157,42491,5,3.25,3660,11995,2.0,0,2,3,10,3660,0,2006,0,122008,52.7637,-114.05,3320,11241,3,72,785000
6,6762813599,42491,3,1.75,2240,10578,2.0,0,0,5,8,1550,690,1923,0,122006,52.9254,-114.482,1570,10578,3,71,750000
7,6762813600,42491,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,1955,0,122009,52.8014,-114.598,2010,6550,1,73,750000
8,6762814461,42491,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,0,122010,52.9145,-114.391,2320,10814,2,53,698000
9,6762814787,42491,5,2.5,2820,67518,2.0,0,0,3,8,2820,0,1979,0,122011,52.8094,-114.215,2820,48351,2,51,675000
10,6762815225,42491,4,2.0,1820,5000,1.5,0,1,3,7,1640,180,1945,0,122006,52.9115,-114.459,2060,5000,2,69,650000
11,6762815461,42491,4,2.0,1520,6200,1.5,0,0,3,7,1520,0,1945,0,122006,52.908,-114.459,1910,6200,3,80,640000
12,6762815654,42491,4,2.75,2710,37277,2.0,0,0,3,9,2710,0,2000,0,122012,52.6934,-114.177,2390,39299,1,74,630000
13,6762815737,42491,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,122013,52.8798,-114.511,2410,3050,3,51,626000
14,6762815748,42491,4,2.5,2820,8408,2.0,0,0,3,9,2820,0,2014,0,122014,52.9838,-114.515,1300,8408,3,55,625000
15,6762815749,42491,4,3.25,2730,54014,1.0,0,0,3,9,1560,1170,2007,0,122015,52.7433,-114.3,2730,111274,1,70,625000
16,6762815986,42491,3,1.75,2360,7291,1.0,0,0,4,8,1360,1000,1948,0,122016,52.7574,-114.574,1860,5499,2,75,615000
